advert,price,rooms,footage
dining room renovation renovation bedroom renovation bedroom living room move-in ready garden kitchen,373286.9737434864,1,2569
garden move-in ready move-in ready move-in ready move-in ready bedroom dining room move-in ready,445757.2762694996,3,1507
garden dining room garden dining room dining room kitchen bedroom,442691.0557111724,5,1720
living room bedroom garage garden garage,193231.37115523667,3,2023
pool move-in ready kitchen renovation move-in ready pool bedroom move-in ready bathroom pool renovation garden living room pool,188095.07767266157,3,943
bedroom pool garage garage kitchen kitchen,450374.32939444756,4,1563
renovation bedroom pool kitchen dining room garden pool garage pool kitchen living room dining room kitchen bedroom,128086.04168063443,3,1158
pool garden living room pool garage pool kitchen move-in ready,246926.08594355275,6,2360
pool move-in ready move-in ready garage renovation garage move-in ready bathroom kitchen,387859.424152899,5,1131
garage living room pool pool bathroom renovation dining room dining room dining room bathroom,490432.02598738496,6,2943
bathroom bedroom garage living room living room renovation bedroom bedroom renovation garage,162516.8458838789,6,1726
move-in ready bedroom move-in ready pool kitchen garage garage renovation living room move-in ready garden renovation garden bedroom,168885.22762429627,3,2458
living room garage bedroom kitchen living room garage kitchen move-in ready garage bedroom garden,229950.10081288175,6,2728
move-in ready garden living room garage garden move-in ready bedroom dining room bathroom kitchen living room pool,407974.4488656672,6,2565
living room bedroom move-in ready bathroom living room renovation bathroom garden,111464.62501430979,1,1663
move-in ready living room garage pool kitchen pool bedroom renovation,105327.28793353439,4,2209
kitchen garden kitchen living room living room,321960.3099829855,6,1755
kitchen move-in ready living room pool dining room garage move-in ready living room garage bedroom,251329.40896323306,1,999
bathroom renovation renovation garage living room garden dining room bathroom pool,155086.2084585469,2,2983
dining room renovation garage garden kitchen kitchen kitchen kitchen kitchen bathroom pool garden bathroom kitchen,438193.45732213143,3,900
renovation bathroom bedroom living room move-in ready,300101.04203902103,6,2915
living room living room bathroom move-in ready bathroom living room renovation pool bedroom dining room kitchen pool living room,328499.667573564,3,1187
garden pool bathroom garage renovation bedroom kitchen living room move-in ready bedroom living room,286906.2492631067,5,2821
renovation move-in ready garden pool bedroom pool bathroom move-in ready pool move-in ready dining room pool,413563.61004343827,3,914
move-in ready bedroom dining room kitchen renovation move-in ready dining room living room pool garden bedroom bathroom,444246.1293711108,6,1824
garage dining room bedroom garage pool dining room bedroom move-in ready,411121.49026950455,5,944
bathroom bathroom garage garage dining room garden pool living room move-in ready,125677.96265191346,2,2055
move-in ready living room move-in ready dining room renovation bedroom living room kitchen move-in ready,421780.821116893,1,1933
living room kitchen pool garden garage,134342.456996252,2,2650
move-in ready kitchen pool pool bedroom garden bathroom pool renovation garage garden bedroom move-in ready garden,112345.09002336655,1,2415
bedroom garden dining room dining room kitchen garden garage bedroom living room garden renovation,435617.14972139784,2,2146
garage renovation bedroom renovation garden bathroom garage garage bedroom garage kitchen move-in ready,386620.1369645804,1,1425
garage dining room garage move-in ready pool garage garage bathroom living room bathroom,299653.3426206208,2,2815
pool bathroom dining room renovation pool garden bedroom move-in ready kitchen move-in ready renovation,394685.36802567844,5,681
move-in ready kitchen renovation garden garden dining room dining room bedroom bathroom renovation move-in ready renovation,287361.5956513996,1,995
garden garden bathroom pool garden bedroom pool kitchen move-in ready,240554.05689650585,3,1313
dining room living room bathroom bedroom bathroom pool move-in ready dining room,389048.04250244645,1,2296
garage bathroom bathroom garage garden living room move-in ready renovation dining room,146990.30017358862,1,644
garage kitchen living room move-in ready garage kitchen,173723.5547551596,2,2136
garden kitchen kitchen kitchen garage garage dining room dining room bedroom bedroom move-in ready living room bathroom,105655.70922143644,2,1099
bedroom garden bathroom renovation renovation renovation garage dining room garden,345644.89312041877,5,1970
bedroom pool garden pool renovation bedroom garage kitchen garage garden dining room renovation pool kitchen,401801.67083967733,6,1436
bedroom dining room renovation living room move-in ready kitchen move-in ready pool renovation pool,271709.6699658949,3,2958
dining room living room bathroom move-in ready bedroom bathroom kitchen bedroom kitchen bathroom,341735.92062942835,5,2704
move-in ready bedroom renovation bathroom renovation pool living room move-in ready kitchen living room pool bedroom renovation,413208.8734443522,1,2009
kitchen kitchen living room pool garage renovation dining room garage pool dining room bathroom pool dining room move-in ready,337301.0635472359,1,683
renovation bathroom living room dining room move-in ready bathroom bathroom pool dining room move-in ready living room dining room living room,408538.9001256771,1,1272
garden renovation bathroom garage move-in ready garage bedroom living room living room pool,272526.91284307465,2,1549
bathroom renovation renovation bathroom kitchen bedroom bedroom living room pool living room bedroom kitchen,406996.5841962999,6,1395
living room pool garden pool garden kitchen dining room bedroom dining room living room renovation,299240.9184321385,6,510
garage kitchen bathroom renovation pool bedroom kitchen living room move-in ready living room garden renovation,416057.3150611471,6,2116
move-in ready renovation kitchen move-in ready bathroom move-in ready,394343.0619678329,6,589
dining room renovation bedroom garage move-in ready garage garden move-in ready bedroom,252592.64736383004,5,2619
kitchen garage pool bedroom renovation pool dining room garden,480070.22626764467,1,1643
bathroom kitchen bathroom pool move-in ready,153388.5681886198,3,1938
dining room bedroom garage kitchen kitchen pool bathroom bathroom kitchen garage,266397.3538084035,6,1573
pool renovation living room move-in ready pool bathroom renovation living room garden renovation renovation,161080.7764834234,3,727
garden renovation renovation dining room garden living room garage bedroom garden kitchen move-in ready renovation living room living room,144789.184214026,1,1231
bathroom kitchen pool garden pool kitchen pool bathroom bathroom move-in ready kitchen,200247.21798866172,3,1845
kitchen living room dining room dining room living room garage living room bedroom bathroom dining room bedroom,394251.3820298625,3,2174
bedroom garage bathroom bedroom pool bedroom bedroom renovation move-in ready dining room,369943.35192126344,2,614
pool dining room bedroom garage bathroom pool garage kitchen move-in ready dining room garden living room,103093.52513820861,4,1120
living room kitchen move-in ready bedroom dining room bathroom kitchen move-in ready dining room living room bedroom kitchen bedroom,164747.08112991773,5,961
living room living room move-in ready dining room bathroom dining room garage renovation kitchen renovation bathroom bedroom,277109.1834456793,6,1765
renovation garden bedroom kitchen kitchen dining room living room pool,272685.7513483813,3,2502
living room bedroom garden dining room bathroom bathroom living room garage,208605.42532551306,4,556
move-in ready pool living room move-in ready kitchen garage living room pool,338971.4391537625,1,1661
move-in ready garage living room move-in ready garden pool kitchen garden pool bathroom bedroom renovation kitchen dining room,331246.274582773,1,1919
bedroom garden garage garage garage,323644.7473460358,1,2485
move-in ready pool garage garden renovation garage renovation move-in ready bathroom garage living room pool,462441.05102936184,4,1361
renovation pool pool garage move-in ready living room kitchen move-in ready bedroom bathroom,176856.6125447015,5,1824
renovation bathroom living room renovation renovation bedroom bathroom living room kitchen move-in ready renovation move-in ready move-in ready living room,451366.25877679314,3,2187
living room bedroom dining room kitchen garage living room garden pool bathroom living room bathroom garden garage,380186.34377295955,3,918
move-in ready kitchen move-in ready garden bathroom bedroom bathroom,129417.67506405243,2,725
living room bedroom kitchen dining room move-in ready,477340.53352389275,3,1359
living room garden bathroom bathroom bedroom kitchen,271476.2578723709,2,2083
dining room kitchen living room kitchen pool bathroom kitchen move-in ready,407216.9028216373,5,1356
pool dining room bedroom garage renovation pool garden garage garden renovation kitchen,304408.46068458364,2,2661
bedroom bedroom pool dining room bedroom garage garage bedroom renovation bathroom bedroom pool dining room living room,209312.47310376627,1,688
garden kitchen renovation pool garage garage,207141.8617205743,3,2440
living room bedroom move-in ready garage garage pool kitchen pool,330506.59062021575,4,2564
garden dining room move-in ready garden bedroom,136208.58576726945,6,2619
bathroom garage kitchen renovation bedroom garage renovation bedroom garden,176355.1396744431,6,2297
dining room dining room garage pool dining room bathroom bedroom living room dining room move-in ready kitchen bathroom dining room bedroom,384775.529128179,5,1797
garage pool pool pool garage,471652.96026880125,2,1188
move-in ready pool garage move-in ready renovation garden kitchen living room,443645.5068874328,2,2941
garden move-in ready bedroom kitchen garage dining room bathroom dining room garage,365435.04148530215,5,2630
garage kitchen pool bathroom bathroom garage living room renovation bathroom dining room bathroom pool move-in ready pool,140919.3360184088,6,1135
bathroom bedroom pool pool garden kitchen dining room,436546.23772028065,2,542
living room garden dining room pool garage pool renovation move-in ready bedroom renovation,239538.46824764903,4,1068
bathroom garden bathroom pool pool kitchen kitchen dining room bathroom living room garden,463735.0859541708,5,2801
renovation pool renovation pool garage move-in ready pool,378393.4011318055,3,1086
move-in ready garage bathroom pool renovation pool renovation dining room garden bedroom kitchen bedroom,383289.58462975564,4,921
kitchen garden pool garden pool pool dining room garden living room living room move-in ready garden dining room bathroom,188751.70862219224,2,1227
move-in ready move-in ready garden dining room renovation bedroom garden dining room bedroom bedroom kitchen garage kitchen garden,431358.8748059757,1,2463
living room bedroom bedroom move-in ready dining room bedroom dining room,329930.686930645,4,2378
bathroom dining room renovation kitchen bedroom move-in ready dining room bedroom pool move-in ready garden bedroom,269835.48908323364,3,2794
move-in ready bedroom dining room garden garden move-in ready renovation garden garage living room living room kitchen bathroom,288684.7496623944,5,2776
dining room renovation living room pool pool bedroom living room renovation living room renovation,356311.4936967833,6,893
living room garage garden renovation bathroom garden bedroom renovation living room garden renovation pool,282108.0481646217,3,2117
